RAM,brand,capacity,color,depth,display_size,fingerprint,generation/release,graphics_card,height,item_title,operating_system,operating_system_architecture,price,touch_display,weight,width
8 GB RAM,Lenovo,256 GB (PCIe Flash),Midnight Blue,23.48 cm ( 9.24 in ),"14""",NA,2018,Intel UHD Graphics 620,1.89 cm ( .74 in ),IdeaPad 330S-14IKB,Windows 10,64 bit,2499.0,No,1.67 kg ( 3.68 lb ),32.31 cm ( 12.72 in )
8 GB RAM,HP,512 GB (PCIe Flash),Ceramic White,1.04 cm ( .41 in ),"13.3""",NA,2018,Intel UHD Graphics 620,22.42 cm ( 8.83 in ),Spectre 13-af001nx,Windows 10,64 bit,6299.0,Yes,1.11 kg ( 2.45 lb ),30.82 cm ( 12.13 in )
16 GB RAM,Dell,1 TB SSD,Silver,199.24 mm ( 7.84 in ),"13.3""",NA,2019,Intel UHD Graphics 620,7.80 mm ( .31 in ),XPS 13 9380,Windows 10,64 bit,8099.0,No,1.27 kg ( 2.80 lb ),301.76 mm ( 11.88 in )
16 GB RAM,Dell,512 GB PCIe NVMe M.2 SSD,Silver,199.24 mm ( 7.84 in ),"13.3""",NA,NA,Intel UHD Graphics 620,0,XPS 13 9380,Windows 10,NA,6399.0,No,1.27 kg ( 2.80 lb ),301.76 mm ( 11.88 in )
16 GB RAM,Acer,512 GB SSD,Blue,228.00 mm ( 8.98 in ),"14""",Yes,2019,Intel GMA HD,15.00 mm ( .59 in ),Swift 5,Windows 10,Not Specified,5999.0,Yes,.90 kg ( 1.98 lb ),330.00 mm ( 12.99 in )
8 GB RAM,HP,128 GB M.2 SSD/1 TB HDD,Mineral Silver,1.79 cm ( .70 in ),"15.6""",NA,2019,NVIDIA GeForce MX130 (2 GB),24.56 cm ( 9.67 in ),Pavilion 15-cs2003nx,Windows 10,64 bit,2999.0,No,1.94 kg ( 4.28 lb ),36.16 cm ( 14.24 in )
8 GB RAM,Apple,128 GB (PCIe SSD),Silver,21.24 cm ( 8.36 in ),"13.3""",Yes,2018,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,Not Specified,5199.0,No,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
4 GB RAM,Lenovo,1 TB HDD,Onyx Black,260.00 mm ( 10.24 in ),"14""",NA,2018,Intel GMA HD,22.90 mm ( .90 in ),IdeaPad 320-14ISK,Windows 10,64 bit,0.0,No,2.10 kg ( 4.63 lb ),378.00 mm ( 14.88 in )
8 GB RAM,Lenovo,1 TB HDD,Black,260.00 mm ( 10.24 in ),"15.6""",NA,2017,AMD Radeon 530 (2 GB),22.90 mm ( .90 in ),IdeaPad 320-15IKBRA,Windows 10,64 bit,0.0,No,2.20 kg ( 4.85 lb ),378.00 mm ( 14.88 in )
8 GB RAM,HP,1 TB PCIe NVMe M.2 SSD,Natural Silver,21.56 cm ( 8.49 in ),"13.3""",NA,2017,NVIDIA GeForce MX150 (2 GB),1.39 cm ( .55 in ),ENVY 13-ad101nx,Windows 10,64 bit,0.0,No,1.38 kg ( 3.04 lb ),30.54 cm ( 12.02 in )
8 GB RAM,HP,512 GB NVMe M.2 SSD,Natural Silver,21.56 cm ( 8.49 in ),"13.3""",NA,2017,Intel HD Graphics 620,1.39 cm ( .55 in ),ENVY 13-ad100nx,Windows 10,64 bit,0.0,No,1.23 kg ( 2.71 lb ),30.54 cm ( 12.02 in )
8 GB RAM,HP,256 GB PCIe NVMe M.2 SSD,Silver,22.60 cm ( 8.90 in ),"13.3""",NA,2016,Intel GMA HD,1.29 cm ( .51 in ),ENVY 13-ab000nx,Windows 10,64 bit,5349.0,No,1.36 kg ( 3.00 lb ),32.65 cm ( 12.85 in )
8 GB RAM,Apple,256 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2016,Intel Iris Graphics 550,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Sierra,Not Specified,7999.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
4 GB RAM,HP,1 TB HDD,Smoke Grey,25.38 cm ( 9.99 in ),"15.6""",NA,2017,AMD Radeon 520 (2 GB),2.38 cm ( .94 in ),15-bs013nx,Windows 10,64 bit,3149.0,No,2.10 kg ( 4.63 lb ),38.00 cm ( 14.96 in )
8 GB RAM,Apple,256 GB SSD,Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2017,Intel Iris Plus Graphics 640,1.49 cm ( .59 in ),MacBook Pro (Retina),macOS Sierra,Not Specified,6499.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,256 GB SSD,Silver,21.24 cm ( 8.36 in ),"13.3""",NA,2017,Intel Iris Plus Graphics 640,1.49 cm ( .59 in ),MacBook Pro (Retina),macOS Sierra,Not Specified,6499.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
4 GB RAM,Dell,1 TB HDD,Black,260.30 mm ( 10.25 in ),"15.6""",NA,2017,AMD Radeon R5-M430 (2 GB),23.62 mm ( .93 in ),Inspiron 15 3567,Windows 10,64 bit,0.0,No,2.24 kg ( 4.94 lb ),380.00 mm ( 14.96 in )
4 GB RAM,Lenovo,1 TB HDD,Grey,260.00 mm ( 10.24 in ),"15.6""",NA,2017,Intel GMA HD,22.90 mm ( .90 in ),IdeaPad 320-15IKBRN,Windows 10,64 bit,0.0,No,2.20 kg ( 4.85 lb ),378.00 mm ( 14.88 in )
16 GB RAM,Apple,256 GB SSD,Silver,24.07 cm ( 9.48 in ),"15.4""",NA,2018,Radeon Pro 555X GDDR5 (4 GB),1.55 cm ( .61 in ),MacBook Pro (Retina + Touch Bar),macOS Sierra,Not Specified,10199.0,No,1.83 kg ( 4.03 lb ),34.93 cm ( 13.75 in )
16 GB RAM,Apple,512 GB SSD,Silver,24.07 cm ( 9.48 in ),"15.4""",NA,2018,Radeon Pro 560X GDDR5 (4 GB),1.55 cm ( .61 in ),MacBook Pro (Retina + Touch Bar),macOS Sierra,Not Specified,12499.0,No,1.83 kg ( 4.03 lb ),34.93 cm ( 13.75 in )
4 GB RAM,Lenovo,1 TB HDD,Platinum Grey,23.48 cm ( 9.24 in ),"14""",NA,2018,Intel UHD Graphics 620,1.89 cm ( .74 in ),IdeaPad 330S-14IKB,Windows 10,64 bit,2099.0,No,1.67 kg ( 3.68 lb ),32.31 cm ( 12.72 in )
4 GB RAM,Dell,1 TB HDD,Black,260.30 mm ( 10.25 in ),"15.6""",NA,2018,AMD Radeon 520 (2 GB),23.65 mm ( .93 in ),Inspiron 15 3576,Windows 10,64 bit,2299.0,No,2.30 kg ( 5.07 lb ),380.00 mm ( 14.96 in )
16 GB RAM,Acer,512 GB SSD,Blue,228.00 mm ( 8.98 in ),"14""",Yes,2018,Intel UHD Graphics 620,15.00 mm ( .59 in ),Swift 5 SF514-52TP-8933,Windows 10 Pro,64 bit,5999.0,Yes,.90 kg ( 1.98 lb ),330.00 mm ( 12.99 in )
8 GB RAM,Apple,256 GB (PCIe SSD),Space Gray,21.24 cm ( 8.36 in ),"13.3""",NA,2018,Intel UHD Graphics 617,1.56 cm ( .61 in ),MacBook Air (Retina),macOS Mojave,Not Specified,6099.0,No,1.25 kg ( 2.76 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Dell,128 GB PCIe NVMe M.2 SSD/1 TB HDD,Grey,232.00 mm ( 9.13 in ),"14""",Yes,2018,NVIDIA GeForce MX130 (2 GB),18.20 mm ( .72 in ),Vostro 5481,Windows 10,64 bit,3899.0,No,1.55 kg ( 3.42 lb ),324.90 mm ( 12.79 in )
4 GB RAM,Acer,1 TB HDD,Obsidian Black,259.00 mm ( 10.20 in ),"15.6""",NA,2019,Intel HD Graphics 620,20.95 mm ( .82 in ),Aspire 3,Windows 10,64 bit,1749.0,No,2.10 kg ( 4.63 lb ),381.60 mm ( 15.02 in )
16 GB RAM,Dell,256 GB SSD/1 TB HDD,Silver,248.00 mm ( 9.76 in ),"15.6""",NA,2019,NVIDIA GeForce MX130 (4 GB),18.00 mm ( .71 in ),Inspiron 15 5584,Windows 10,64 bit,4099.0,No,2.00 kg ( 4.41 lb ),364.00 mm ( 14.33 in )
16 GB RAM,Dell,128 GB SSD/1 TB HDD,Silver,240.80 mm ( 9.48 in ),"14""",NA,2019,NVIDIA GeForce MX250 (2 GB),16.09 mm ( .63 in ),Inspiron 14 5480,Windows 10,64 bit,4099.0,No,1.69 kg ( 3.73 lb ),343.00 mm ( 13.50 in )
4 GB RAM,Acer,1 TB HDD,Black,259.00 mm ( 10.20 in ),"15.6""",NA,2019,Intel UHD Graphics 620,19.90 mm ( .78 in ),Aspire 3 A315-54,Windows 10,64 bit,1999.0,No,1.90 kg ( 4.19 lb ),381.60 mm ( 15.02 in )
4 GB RAM,Acer,1 TB HDD,Blue,259.00 mm ( 10.20 in ),"15.6""",NA,2019,Intel UHD Graphics 620,19.90 mm ( .78 in ),Aspire 3 A315-54,Windows 10,64 bit,1999.0,No,1.90 kg ( 4.19 lb ),381.60 mm ( 15.02 in )
4 GB RAM,Asus,128 GB M.2 SSD,Silver,21.00 cm ( 8.27 in ),"14""",NA,2019,Intel UHD Graphics 620,1.77 cm ( .70 in ),VivoBook 14 X420UA,Windows 10 S,64 bit,1699.0,No,1.40 kg ( 3.09 lb ),32.20 cm ( 12.68 in )
8 GB RAM,Apple,128 GB SSD,Silver,21.24 cm ( 8.36 in ),"13.3""",NA,2019,Intel Iris Plus Graphics 645,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,5649.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
8 GB RAM,Apple,256 GB SSD,Silver,21.24 cm ( 8.36 in ),"13.3""",NA,2019,Intel Iris Plus Graphics 645,1.49 cm ( .59 in ),MacBook Pro (Retina + Touch Bar),macOS Mojave,Not Specified,6499.0,No,1.37 kg ( 3.02 lb ),30.41 cm ( 11.97 in )
16 GB RAM,Asus,512 GB NVMe M.2 SSD,Transparent Silver,21.30 cm ( 8.39 in ),"14""",NA,2019,NVIDIA GeForce MX250 (2 GB),1.80 cm ( .71 in ),VivoBook S14 S431,Windows 10,64 bit,3999.0,No,1.40 kg ( 3.09 lb ),32.30 cm ( 12.72 in )
4 GB RAM,Asus,1 TB HDD,Grey,2.29 cm ( .90 in ),"15.6""",NA,2019,Intel UHD Graphics 620,36.00 cm ( 14.17 in ),X509FA,Windows 10,64 bit,1999.0,No,1.90 kg ( 4.19 lb ),23.50 cm ( 9.25 in )
